,customer_id,type_of_customer
0,22853,Vegan People
1,994,Vegan People
2,29221,Vegan People
3,1818,Vegan People
4,7272,Vegan People
5,32875,Vegan People
6,7897,Vegan People
7,35665,Vegan People
8,254,Vegan People
9,13583,Vegan People
10,37849,Vegan People
11,35931,Vegan People
12,1034,Vegan People
13,2316,Vegan People
14,24976,Vegan People
15,23280,Vegan People
16,18825,Vegan People
17,19774,Vegan People
18,2021,Vegan People
19,10996,Vegan People
20,30067,Vegan People
21,27605,Vegan People
22,4067,Vegan People
23,23900,Vegan People
24,26055,Vegan People
25,22483,Vegan People
26,39770,Vegan People
27,5822,Vegan People
28,508,Vegan People
29,13848,Vegan People
30,39410,Vegan People
31,28671,Vegan People
32,27977,Vegan People
33,7289,Vegan People
34,18354,Vegan People
35,10841,Vegan People
36,37273,Vegan People
37,21439,Vegan People
38,26781,Vegan People
39,30006,Vegan People
40,20372,Vegan People
41,31617,Vegan People
42,13975,Vegan People
43,21894,Vegan People
44,33443,Vegan People
45,14850,Vegan People
46,1454,Vegan People
47,31712,Vegan People
48,22997,Vegan People
49,30924,Vegan People
50,7249,Vegan People
51,28944,Vegan People
52,4793,Vegan People
53,18583,Vegan People
54,29253,Vegan People
55,4267,Vegan People
56,20645,Vegan People
57,22999,Vegan People
58,21322,Vegan People
59,13668,Vegan People
60,10550,Vegan People
61,31921,Vegan People
62,39636,Vegan People
63,6844,Vegan People
64,37358,Vegan People
65,33172,Vegan People
66,19528,Vegan People
67,2882,Vegan People
68,28484,Vegan People
69,22901,Vegan People
70,12605,Vegan People
71,17193,Vegan People
72,15152,Vegan People
73,26814,Vegan People
74,2,Vegan People
75,32946,Vegan People
76,27606,Vegan People
77,7923,Vegan People
78,2109,Vegan People
79,20417,Vegan People
80,19152,Vegan People
81,32196,Vegan People
82,37405,Vegan People
83,12224,Vegan People
84,39443,Vegan People
85,1799,Vegan People
86,10065,Vegan People
87,12587,Vegan People
88,11423,Vegan People
89,21865,Vegan People
90,16823,Vegan People
91,29094,Vegan People
92,8117,Vegan People
93,30926,Vegan People
94,4805,Vegan People
95,38513,Vegan People
96,27461,Vegan People
97,18009,Vegan People
98,13464,Vegan People
99,13272,Vegan People
100,39569,Vegan People
101,18158,Vegan People
102,39913,Vegan People
103,27317,Vegan People
104,3357,Vegan People
105,34489,Vegan People
106,21951,Vegan People
107,39519,Vegan People
108,248,Vegan People
109,12921,Vegan People
110,4606,Vegan People
111,23096,Vegan People
112,3919,Vegan People
113,8597,Vegan People
114,17703,Vegan People
115,21020,Vegan People
116,1599,Vegan People
117,12101,Vegan People
118,4257,Vegan People
119,29593,Vegan People
120,21706,Vegan People
121,25769,Vegan People
122,30397,Vegan People
123,29247,Vegan People
124,22915,Vegan People
125,4516,Vegan People
126,14659,Vegan People
127,23208,Vegan People
128,7316,Vegan People
129,6820,Vegan People
130,39737,Vegan People
131,9969,Vegan People
132,18935,Vegan People
133,914,Vegan People
134,3610,Vegan People
135,38860,Vegan People
136,18084,Vegan People
137,27222,Vegan People
138,33143,Vegan People
139,34345,Vegan People
140,20908,Vegan People
141,5186,Vegan People
142,24856,Vegan People
143,6267,Vegan People
144,10142,Vegan People
145,32739,Vegan People
146,11387,Vegan People
147,13614,Vegan People
148,7105,Vegan People
149,12863,Vegan People
150,26482,Vegan People
151,18847,Vegan People
152,18085,Vegan People
153,20444,Vegan People
154,33223,Vegan People
155,1889,Vegan People
156,9806,Vegan People
157,28785,Vegan People
158,23627,Vegan People
159,22769,Vegan People
160,27934,Vegan People
161,1388,Vegan People
162,15136,Vegan People
163,28788,Vegan People
164,23771,Vegan People
165,37351,Vegan People
166,21197,Vegan People
167,18092,Vegan People
168,39049,Vegan People
169,8112,Vegan People
170,1672,Vegan People
171,26467,Vegan People
172,25020,Vegan People
173,39210,Vegan People
174,36065,Vegan People
175,9618,Vegan People
176,10586,Vegan People
177,35446,Vegan People
178,3783,Vegan People
179,13301,Vegan People
180,39671,Vegan People
181,75,Vegan People
182,3155,Vegan People
183,9174,Vegan People
184,21031,Vegan People
185,4217,Vegan People
186,4720,Vegan People
187,12251,Vegan People
188,6428,Vegan People
189,37202,Vegan People
190,23886,Vegan People
191,25000,Vegan People
192,24860,Vegan People
193,10916,Vegan People
194,26489,Vegan People
195,35884,Vegan People
196,35263,Vegan People
197,16612,Vegan People
198,24466,Vegan People
199,31756,Vegan People
200,13014,Vegan People
201,14060,Vegan People
202,10496,Vegan People
203,8351,Vegan People
204,23404,Vegan People
205,26571,Vegan People
206,10757,Vegan People
207,25913,Vegan People
208,9120,Vegan People
209,25822,Vegan People
210,6957,Vegan People
211,25969,Vegan People
212,34104,Vegan People
213,12956,Vegan People
214,32556,Vegan People
215,5969,Vegan People
216,7554,Vegan People
217,8699,Vegan People
218,6995,Vegan People
219,31042,Vegan People
220,30036,Vegan People
221,9180,Vegan People
222,37685,Vegan People
223,3733,Vegan People
224,26630,Vegan People
225,23807,Vegan People
226,9557,Vegan People
227,32709,Vegan People
228,4054,Vegan People
229,23850,Vegan People
230,5723,Vegan People
231,21032,Vegan People
232,24471,Vegan People
233,29166,Vegan People
234,38291,Vegan People
235,39713,Vegan People
236,14664,Vegan People
237,33696,Vegan People
238,35593,Vegan People
239,5666,Vegan People
240,17449,Vegan People
241,7558,Vegan People
242,11756,Vegan People
243,10211,Vegan People
244,4711,Vegan People
245,32606,Vegan People
246,8123,Vegan People
247,18851,Vegan People
248,10711,Vegan People
249,34026,Vegan People
250,31035,Vegan People
251,4667,Vegan People
252,20740,Vegan People
253,11084,Vegan People
254,19780,Vegan People
255,7006,Vegan People
256,5288,Vegan People
257,24474,Vegan People
258,17412,Vegan People
259,19232,Vegan People
260,3542,Vegan People
261,4089,Vegan People
262,23125,Vegan People
263,18552,Vegan People
264,39286,Vegan People
265,11071,Vegan People
266,183,Vegan People
267,23828,Vegan People
268,17223,Vegan People
269,19073,Vegan People
270,28739,Vegan People
271,8573,Vegan People
272,6453,Vegan People
273,16150,Vegan People
274,17090,Vegan People
275,6430,Vegan People
276,38968,Vegan People
277,19838,Vegan People
278,15018,Vegan People
279,16233,Vegan People
280,35609,Vegan People
281,37836,Vegan People
282,37728,Vegan People
283,9005,Vegan People
284,15806,Vegan People
285,26892,Vegan People
286,22003,Vegan People
287,35625,Vegan People
288,21004,Vegan People
289,11471,Vegan People
290,2504,Vegan People
291,28425,Vegan People
292,17785,Vegan People
293,30140,Vegan People
294,31,Vegan People
295,10940,Vegan People
296,23589,Vegan People
297,8783,Vegan People
298,12271,Vegan People
299,39195,Vegan People
300,13709,Vegan People
301,33098,Vegan People
302,26209,Vegan People
303,28201,Vegan People
304,15689,Vegan People
305,17638,Vegan People
306,11940,Vegan People
307,12899,Vegan People
308,37265,Vegan People
309,17164,Vegan People
310,32522,Vegan People
311,11521,Vegan People
312,31831,Vegan People
313,24547,Vegan People
314,35280,Vegan People
315,28187,Vegan People
316,25617,Vegan People
317,33489,Vegan People
318,11006,Vegan People
319,524,Vegan People
320,33666,Vegan People
321,35974,Vegan People
322,2293,Vegan People
323,38230,Vegan People
324,9577,Vegan People
325,16733,Vegan People
326,4841,Vegan People
327,10146,Vegan People
328,12530,Vegan People
329,3923,Vegan People
330,23821,Vegan People
331,504,Vegan People
332,1913,Vegan People
333,1192,Vegan People
334,31089,Vegan People
335,24928,Vegan People
336,20580,Vegan People
337,38434,Vegan People
338,30277,Vegan People
339,27318,Vegan People
340,14936,Vegan People
341,37574,Vegan People
342,1031,Vegan People
343,27106,Vegan People
344,38678,Vegan People
345,26092,Vegan People
346,25544,Vegan People
347,13873,Vegan People
348,36810,Vegan People
349,15089,Vegan People
350,22998,Vegan People
351,24528,Vegan People
352,28693,Vegan People
353,18876,Vegan People
354,34049,Vegan People
355,23619,Vegan People
356,20410,Vegan People
357,13025,Vegan People
358,9738,Vegan People
359,38032,Vegan People
360,36145,Vegan People
361,26908,Vegan People
362,15398,Vegan People
363,37483,Vegan People
364,17113,Vegan People
365,1077,Vegan People
366,23035,Vegan People
367,16326,Vegan People
368,16158,Vegan People
369,22612,Vegan People
370,18452,Vegan People
371,12762,Vegan People
372,10125,Vegan People
373,7765,Vegan People
374,15041,Vegan People
375,2194,Vegan People
376,35139,Vegan People
377,25892,Vegan People
378,3564,Vegan People
379,22350,Vegan People
380,7710,Vegan People
381,17127,Vegan People
382,24032,Vegan People
383,34169,Vegan People
384,6129,Vegan People
